7718256,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c570,2.4.2.3.1.2,(-1) План свайного поля,1,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
7718263,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c577,2.4.2.3.1.2,(-1) План свайного поля,1,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
7718270,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c57e,2.4.2.3.1.2,(-1) План свайного поля,1,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
7718277,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c585,2.4.2.3.1.2,(-1) План свайного поля,1,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
7718284,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c58c,2.4.2.3.1.2,(-1) План свайного поля,1,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
7718291,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c593,2.4.2.3.1.2,(-1) План свайного поля,1,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
7718298,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c59a,2.4.2.3.1.2,(-1) План свайного поля,1,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,1 м²,0.69 м³,0,0,0,0
7718305,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c5a1,2.4.2.3.1.2,(-1) План свайного поля,1,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,4 м²,2.59 м³,0,0,0,0
7718312,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c5a8,2.4.2.3.1.2,(-1) План свайного поля,2,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
7718319,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c5af,2.4.2.3.1.2,(-1) План свайного поля,2,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
7718326,717fcd81-1ce0-4a2c-be4f-fc20f83315b0-0075c5b6,2.4.2.3.1.2,(-1) План свайного поля,2,Перекрытия,Монолитное перекрытие (ростверк) - 600мм,Монолитное перекрытие (ростверк) - 600мм,0,2 м²,0.97 м³,0,0,0,0
